catalog_index,catalog_id,material_no,master_category,name,category,thickness_mm,weight_kg_m2,ra_dba,source_ref,r_63_hz,r_125_hz,r_250_hz,r_500_hz,r_1000_hz,r_2000_hz,spectrum_ok,supplier,phone,buildup,cavity_fill,laminate,glass_t1_mm,glass_cavity_mm,glass_t2_mm,rqa_dba,c_dm3_s,dna_dba,height_mm,depth_mm,length_mm,sh_mm,doorlaat_m2_m,source
890,D03719,3719,Elementen,Gevelelement type 2-...,,162.0,0.0,30.7,"WTCB RE 1-2053,3 ...",17.5,18.7,36.5,44.4,52.1,49.2,True,Machiels Building So...,+32 (0)11 ...,,,,,,,,,,,,,,,catalogusGG.pdf
891,D03745,3745,Elementen,"HSB element, 2x12.5...",,0.0,0.0,36.4,Peutz A 3105-1-RA-0...,18.9,35.1,41.3,48.2,54.9,59.9,True,Nijhuis Toelevering B...,0548 53 53...,,,,,,,,,,,,,,,catalogusGG.pdf
892,D03746,3746,Elementen,"HSB element, 12.5m...",,0.0,0.0,34.4,Peutz A 3105-1-RA-0...,16.8,34.0,40.6,48.1,54.9,56.4,True,Nijhuis Toelevering B...,0548 53 53...,,,,,,,,,,,,,,,catalogusGG.pdf
893,D03747,3747,Elementen,"HSB element, 12.5m...",,0.0,0.0,35.0,Peutz A 3105-1-RA-0...,17.5,34.3,42.6,47.4,49.8,47.4,True,Nijhuis Toelevering B...,0548 53 53...,,,,,,,,,,,,,,,catalogusGG.pdf
894,D00044,44,Glas,Glas 4-12-4/1/4 pvb.l...,glas,25.0,30.0,28.9,Geluidwering Gevels...,21.4,23.0,22.0,30.0,36.0,39.0,True,,,4 12 9,Lucht,"pvb, 1 zijdig",4.0,12.0,9.0,,,,,,,,,catalogusGG.pdf
895,D00045,45,Glas,Glas 8-12-4/1/4 pvb.l...,glas,29.0,40.0,30.8,Geluidwering Gevels...,23.5,24.0,25.0,32.0,35.0,38.0,True,,,8 12 9,Lucht,"pvb, 1 zijdig",8.0,12.0,9.0,,,,,,,,,catalogusGG.pdf
896,D00046,46,Glas,Glas 6-16-4/1/4 pvb.l...,glas,31.0,35.0,30.9,Geluidwering Gevels...,22.5,23.0,25.0,33.0,37.0,40.0,True,,,6 16 9,Lucht,"pvb, 1 zijdig",6.0,16.0,9.0,,,,,,,,,catalogusGG.pdf
897,D00047,47,Glas,Glas 8-16-4/1/4 pvb.l...,glas,33.0,40.0,31.6,Geluidwering Gevels...,23.4,24.0,26.0,34.0,36.0,39.0,True,,,8 16 9,Lucht,"pvb, 1 zijdig",8.0,16.0,9.0,,,,,,,,,catalogusGG.pdf
898,D00048,48,Glas,Glas 6-20-6/1/6 pvb.l...,glas,39.0,45.0,32.7,Geluidwering Gevels...,23.8,25.0,27.0,35.0,39.0,39.0,True,,,6 20 13,Lucht,"pvb, 1 zijdig",6.0,20.0,13.0,,,,,,,,,catalogusGG.pdf
899,D00058,58,Glas,Glas 4/1/4-12-4/1/4 lu...,glas,30.0,40.0,30.8,Geluidwering Gevels...,22.5,24.0,25.0,32.0,35.0,41.0,True,,,9 12 9,Lucht,"pvb, 2 zijdig",9.0,12.0,9.0,,,,,,,,,catalogusGG.pdf
900,D00059,59,Glas,Glas 4/1/4-16-4/1/4 lu...,glas,34.0,40.0,31.6,Geluidwering Gevels...,22.5,24.0,26.0,34.0,36.0,42.0,True,,,9 16 9,Lucht,"pvb, 2 zijdig",9.0,16.0,9.0,,,,,,,,,catalogusGG.pdf
901,D00060,60,Glas,Glas 4/1/4-12-5/2/5 lu...,glas,33.0,45.0,33.0,onbekend,23.5,26.0,27.0,35.0,39.0,42.0,True,,,9 12 12,Lucht,"pvb, 2 zijdig",9.0,12.0,12.0,,,,,,,,,catalogusGG.pdf
902,D00061,61,Glas,Glas 4/1/4-20-6/2/6 lu...,glas,43.0,50.0,35.3,Geluidwering Gevels...,23.9,28.0,30.0,39.0,41.0,45.0,True,,,9 20 14,Lucht,"pvb, 2 zijdig",9.0,20.0,14.0,,,,,,,,,catalogusGG.pdf
903,D00114,114,Glas,Enkel glas 4 mm (GE...,glas,4.0,10.0,25.9,Geluidwering Gevels...,15.0,19.0,23.0,26.0,30.0,32.0,True,,,4 0 0,n.v.t,Niet,4.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
904,D00115,115,Glas,Enkel glas 6 mm (GE...,glas,6.0,15.0,26.9,Geluidwering Gevels...,17.3,21.0,25.0,28.0,31.0,27.0,True,,,6 0 0,n.v.t,Niet,6.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
905,D00116,116,Glas,Enkel glas 8 mm (GE...,glas,8.0,20.0,28.2,Geluidwering Gevels...,18.9,23.0,26.0,30.0,32.0,28.0,True,,,8 0 0,n.v.t,Niet,8.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
906,D00117,117,Glas,Enkel glas 12 mm (G...,glas,12.0,30.0,28.4,Geluidwering Gevels...,21.2,25.0,28.0,31.0,27.0,34.0,True,,,12 0 0,n.v.t,Niet,12.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
907,D00144,144,Glas,PH 1250/40 schuifraa...,glas,50.0,0.0,29.9,TPD rapporten sept./...,19.5,22.4,24.5,29.8,40.8,40.7,True,,,5 40 5,Lucht,Niet,5.0,40.0,5.0,,,,,,,,,catalogusGG.pdf
908,D00145,145,Glas,PH 1250/70 schuifraa...,glas,80.0,0.0,33.4,TPD rapporten sept./...,19.7,23.8,31.0,38.5,47.0,44.8,True,,,5 70 5,Lucht,Niet,5.0,70.0,5.0,,,,,,,,,catalogusGG.pdf
909,D00146,146,Glas,PH 1250/70 +randab...,glas,80.0,0.0,34.6,TPD rapporten sept./...,20.7,24.9,33.2,40.4,49.0,43.6,True,,,5 70 5,Lucht,Niet,5.0,70.0,5.0,,,,,,,,,catalogusGG.pdf
910,D00147,147,Glas,PH 1250/70+randabs...,glas,80.0,0.0,19.7,TPD rapporten sept./...,8.4,12.4,14.1,20.7,30.5,30.9,True,,,5 70 5,Lucht,Niet,5.0,70.0,5.0,,,,,,,,,catalogusGG.pdf
911,D00148,148,Glas,PH 1250/120 schuifra...,glas,130.0,0.0,35.8,TPD rapporten sept./...,19.9,27.7,38.6,44.1,47.9,45.2,True,,,5 120 5,Lucht,Niet,5.0,120.0,5.0,,,,,,,,,catalogusGG.pdf
912,D00149,149,Glas,PH 1250/120+randab...,glas,130.0,0.0,36.8,TPD rapporten sept./...,20.9,28.7,40.0,45.2,49.2,47.3,True,,,5 120 5,Lucht,Niet,5.0,120.0,5.0,,,,,,,,,catalogusGG.pdf
913,D00150,150,Glas,PH 1250/170 schuifra...,glas,180.0,0.0,36.4,TPD rapporten sept./...,19.6,32.5,39.3,44.9,50.7,44.0,True,,,5 170 5,Lucht,Niet,5.0,170.0,5.0,,,,,,,,,catalogusGG.pdf
914,D00151,151,Glas,PH 1250/170+randab...,glas,180.0,0.0,37.7,TPD rapporten sept./...,20.6,34.3,41.2,48.7,52.8,48.6,True,,,5 170 5,Lucht,Niet,5.0,170.0,5.0,,,,,,,,,catalogusGG.pdf
915,D00152,152,Glas,PH 1250/70+randabs...,glas,80.0,0.0,20.7,TPD rapporten sept./...,5.7,12.2,20.7,25.9,30.4,31.1,True,,,5 70 5,Lucht,Niet,5.0,70.0,5.0,,,,,,,,,catalogusGG.pdf
916,D00318,318,Glas,Glas 4-6-4 (GDL),glas,14.0,20.0,26.3,Geluidwering Gevels...,18.3,22.0,23.0,23.0,32.0,34.0,True,,,4 6 4,Lucht,Niet,4.0,6.0,4.0,,,,,,,,,catalogusGG.pdf
917,D00319,319,Glas,Glas 4-6-6 (GDL),glas,16.0,25.0,28.1,Geluidwering Gevels...,20.0,24.0,24.0,26.0,33.0,33.0,True,,,4 6 6,Lucht,Niet,4.0,6.0,6.0,,,,,,,,,catalogusGG.pdf
918,D00320,320,Glas,Glas 4-6-8 (GDL),glas,18.0,30.0,28.4,Geluidwering Gevels...,21.4,25.0,24.0,27.0,32.0,32.0,True,,,4 6 8,Lucht,Niet,4.0,6.0,8.0,,,,,,,,,catalogusGG.pdf
919,D00321,321,Glas,Glas 4-12-4 (GDL),glas,20.0,20.0,27.9,Geluidwering Gevels...,18.3,21.0,22.0,28.0,36.0,38.0,True,,,4 12 4,Lucht,Niet,4.0,12.0,4.0,,,,,,,,,catalogusGG.pdf
920,D00322,322,Glas,Glas 4-12-6 (GDL),glas,22.0,25.0,28.0,Geluidwering Gevels...,20.0,22.0,21.0,29.0,37.0,37.0,True,,,4 12 6,Lucht,Niet,4.0,12.0,6.0,,,,,,,,,catalogusGG.pdf
921,D00323,323,Glas,Glas 4-12-8 (GDL),glas,24.0,30.0,28.8,Geluidwering Gevels...,21.4,23.0,22.0,30.0,36.0,36.0,True,,,4 12 8,Lucht,Niet,4.0,12.0,8.0,,,,,,,,,catalogusGG.pdf
922,D00324,324,Glas,Glas 6-12-6 (GDL),glas,24.0,30.0,28.1,Geluidwering Gevels...,21.4,23.0,21.0,31.0,36.0,31.0,True,,,6 12 6,Lucht,Niet,6.0,12.0,6.0,,,,,,,,,catalogusGG.pdf
923,D00325,325,Glas,Glas 4-16-4 (GDL),glas,24.0,20.0,26.8,Geluidwering Gevels...,18.3,21.0,19.0,30.0,38.0,39.0,True,,,4 16 4,Lucht,Niet,4.0,16.0,4.0,,,,,,,,,catalogusGG.pdf
924,D00326,326,Glas,Glas 4-12-10 (GDL),glas,26.0,35.0,29.2,Geluidwering Gevels...,22.5,24.0,23.0,30.0,34.0,34.0,True,,,4 12 10,Lucht,Niet,4.0,12.0,10.0,,,,,,,,,catalogusGG.pdf
925,D00327,327,Glas,Glas 6-12-8 (GDL),glas,26.0,35.0,28.9,Geluidwering Gevels...,22.5,24.0,23.0,31.0,35.0,30.0,True,,,6 12 8,Lucht,Niet,6.0,12.0,8.0,,,,,,,,,catalogusGG.pdf
926,D00328,328,Glas,Glas 4-16-6 (GDL),glas,26.0,25.0,27.8,Geluidwering Gevels...,20.0,22.0,20.0,31.0,38.0,39.0,True,,,4 16 6,Lucht,Niet,4.0,16.0,6.0,,,,,,,,,catalogusGG.pdf
927,D00329,329,Glas,Glas 6-12-10 (GDL),glas,28.0,40.0,29.9,Geluidwering Gevels...,23.5,24.0,24.0,32.0,34.0,34.0,True,,,6 12 10,Lucht,Niet,6.0,12.0,10.0,,,,,,,,,catalogusGG.pdf
928,D00330,330,Glas,Glas 4-16-8 (GDL),glas,28.0,30.0,29.8,Geluidwering Gevels...,21.4,23.0,23.0,32.0,37.0,39.0,True,,,4 16 8,Lucht,Niet,4.0,16.0,8.0,,,,,,,,,catalogusGG.pdf
929,D00331,331,Glas,Glas 6-16-6 (GDL),glas,28.0,30.0,29.9,Geluidwering Gevels...,21.4,23.0,24.0,32.0,38.0,33.0,True,,,6 16 6,Lucht,Niet,6.0,16.0,6.0,,,,,,,,,catalogusGG.pdf
930,D00332,332,Glas,Glas 4-20-4 (GDL),glas,28.0,20.0,27.5,Geluidwering Gevels...,18.3,21.0,20.0,31.0,39.0,41.0,True,,,4 20 4,Lucht,Niet,4.0,20.0,4.0,,,,,,,,,catalogusGG.pdf
931,D00333,333,Glas,Glas 6-12-12 (GDL),glas,30.0,45.0,30.2,Geluidwering Gevels...,24.4,25.0,25.0,32.0,33.0,33.0,True,,,6 12 12,Lucht,Niet,6.0,12.0,12.0,,,,,,,,,catalogusGG.pdf
932,D00334,334,Glas,Glas 8-12-10 (GDL),glas,30.0,45.0,29.7,Geluidwering Gevels...,24.4,24.0,25.0,33.0,32.0,31.0,True,,,8 12 10,Lucht,Niet,8.0,12.0,10.0,,,,,,,,,catalogusGG.pdf
933,D00335,335,Glas,Glas 4-16-10 (GDL),glas,30.0,35.0,30.3,Geluidwering Gevels...,22.5,24.0,24.0,32.0,36.0,36.0,True,,,4 16 10,Lucht,Niet,4.0,16.0,10.0,,,,,,,,,catalogusGG.pdf
934,D00336,336,Glas,Glas 6-16-8 (GDL),glas,30.0,35.0,30.3,Geluidwering Gevels...,22.5,23.0,25.0,33.0,37.0,32.0,True,,,6 16 8,Lucht,Niet,6.0,16.0,8.0,,,,,,,,,catalogusGG.pdf
935,D00337,337,Glas,Glas 4-20-6 (GDL),glas,30.0,25.0,29.6,Geluidwering Gevels...,20.0,22.0,23.0,32.0,40.0,40.0,True,,,4 20 6,Lucht,Niet,4.0,20.0,6.0,,,,,,,,,catalogusGG.pdf
936,D00338,338,Glas,Glas 8-12-12 (GDL),glas,32.0,45.0,30.7,Geluidwering Gevels...,25.2,25.0,26.0,33.0,33.0,33.0,True,,,8 12 12,Lucht,Niet,8.0,12.0,12.0,,,,,,,,,catalogusGG.pdf
937,D00339,339,Glas,Glas 6-16-10 (GDL),glas,32.0,40.0,31.3,Geluidwering Gevels...,23.5,24.0,26.0,33.0,36.0,36.0,True,,,6 16 10,Lucht,Niet,6.0,16.0,10.0,,,,,,,,,catalogusGG.pdf
938,D00340,340,Glas,Glas 4-20-8 (GDL),glas,32.0,30.0,30.8,Geluidwering Gevels...,21.4,23.0,25.0,33.0,38.0,38.0,True,,,4 20 8,Lucht,Niet,4.0,20.0,8.0,,,,,,,,,catalogusGG.pdf
939,D00341,341,Glas,Glas 6-20-6 (GDL),glas,32.0,30.0,30.9,Geluidwering Gevels...,21.4,23.0,26.0,33.0,39.0,34.0,True,,,6 20 6,Lucht,Niet,6.0,20.0,6.0,,,,,,,,,catalogusGG.pdf
940,D00342,342,Glas,Glas 4-24-4 (GDL),glas,32.0,20.0,29.1,Geluidwering Gevels...,18.3,21.0,23.0,32.0,40.0,41.0,True,,,4 24 4,Lucht,Niet,4.0,24.0,4.0,,,,,,,,,catalogusGG.pdf
941,D00343,343,Glas,Glas 6-16-12 (GDL),glas,34.0,45.0,31.2,Geluidwering Gevels...,24.3,24.0,26.0,34.0,35.0,35.0,True,,,6 16 12,Lucht,Niet,6.0,16.0,12.0,,,,,,,,,catalogusGG.pdf
942,D00344,344,Glas,Glas 8-16-10 (GDL),glas,34.0,45.0,30.9,Geluidwering Gevels...,24.0,24.0,27.0,34.0,34.0,32.0,True,,,8 16 10,Lucht,Niet,8.0,16.0,10.0,,,,,,,,,catalogusGG.pdf
943,D00345,345,Glas,Glas 4-20-10 (GDL),glas,34.0,35.0,31.1,Geluidwering Gevels...,22.5,23.0,26.0,33.0,37.0,37.0,True,,,4 20 10,Lucht,Niet,4.0,20.0,10.0,,,,,,,,,catalogusGG.pdf
944,D00346,346,Glas,Glas 6-20-8 (GDL),glas,34.0,35.0,31.2,Geluidwering Gevels...,22.3,23.0,27.0,34.0,38.0,33.0,True,,,6 20 8,Lucht,Niet,6.0,20.0,8.0,,,,,,,,,catalogusGG.pdf
945,D00347,347,Glas,Glas 4-24-6 (GDL),glas,34.0,25.0,30.9,Geluidwering Gevels...,20.0,22.0,26.0,33.0,41.0,41.0,True,,,4 24 6,Lucht,Niet,4.0,24.0,6.0,,,,,,,,,catalogusGG.pdf
946,D00348,348,Glas,Glas 8-16-12 (GDL),glas,36.0,50.0,31.9,Geluidwering Gevels...,24.7,25.0,27.0,35.0,35.0,35.0,True,,,8 16 12,Lucht,Niet,8.0,16.0,12.0,,,,,,,,,catalogusGG.pdf
947,D00349,349,Glas,Glas 6-20-10 (GDL),glas,36.0,40.0,32.0,Geluidwering Gevels...,23.1,24.0,27.0,35.0,37.0,37.0,True,,,6 20 10,Lucht,Niet,6.0,20.0,10.0,,,,,,,,,catalogusGG.pdf
948,D00350,350,Glas,Glas 4-24-8 (GDL),glas,36.0,30.0,31.4,Geluidwering Gevels...,21.3,23.0,26.0,34.0,39.0,39.0,True,,,4 24 8,Lucht,Niet,4.0,24.0,8.0,,,,,,,,,catalogusGG.pdf
949,D00351,351,Glas,Glas 6-24-6 (GDL),glas,36.0,30.0,31.4,Geluidwering Gevels...,21.1,23.0,27.0,34.0,40.0,35.0,True,,,6 24 6,Lucht,Niet,6.0,24.0,6.0,,,,,,,,,catalogusGG.pdf
950,D00352,352,Glas,Glas 6-20-12 (GDL),glas,38.0,45.0,31.9,Geluidwering Gevels...,23.8,24.0,27.0,35.0,36.0,36.0,True,,,6 20 12,Lucht,Niet,6.0,20.0,12.0,,,,,,,,,catalogusGG.pdf
951,D00353,353,Glas,Glas 8-20-10 (GDL),glas,38.0,45.0,31.6,Geluidwering Gevels...,23.5,24.0,28.0,36.0,35.0,33.0,True,,,8 20 10,Lucht,Niet,8.0,20.0,10.0,,,,,,,,,catalogusGG.pdf
952,D00354,354,Glas,Glas 4-24-10 (GDL),glas,38.0,35.0,31.7,Geluidwering Gevels...,22.3,23.0,27.0,34.0,38.0,38.0,True,,,4 24 10,Lucht,Niet,4.0,24.0,10.0,,,,,,,,,catalogusGG.pdf
953,D00355,355,Glas,Glas 6-24-8 (GDL),glas,38.0,35.0,31.7,Geluidwering Gevels...,21.9,23.0,28.0,35.0,39.0,34.0,True,,,6 24 8,Lucht,Niet,6.0,24.0,8.0,,,,,,,,,catalogusGG.pdf
954,D00356,356,Glas,Glas 8-20-12 (GDL),glas,40.0,50.0,32.5,Geluidwering Gevels...,24.2,25.0,28.0,36.0,36.0,36.0,True,,,8 20 12,Lucht,Niet,8.0,20.0,12.0,,,,,,,,,catalogusGG.pdf
955,D00357,357,Glas,Glas 6-24-10 (GDL),glas,40.0,40.0,32.6,Geluidwering Gevels...,22.7,24.0,28.0,36.0,38.0,38.0,True,,,6 24 10,Lucht,Niet,6.0,24.0,10.0,,,,,,,,,catalogusGG.pdf
956,D00358,358,Glas,Glas 6-24-12 (GDL),glas,42.0,45.0,32.1,Geluidwering Gevels...,23.4,23.0,28.0,36.0,37.0,37.0,True,,,6 24 12,Lucht,Niet,6.0,24.0,12.0,,,,,,,,,catalogusGG.pdf
957,D00359,359,Glas,Glas 8-24-10 (GDL),glas,42.0,45.0,32.2,Geluidwering Gevels...,23.2,24.0,29.0,37.0,36.0,34.0,True,,,8 24 10,Lucht,Niet,8.0,24.0,10.0,,,,,,,,,catalogusGG.pdf
958,D00360,360,Glas,Glas 8-24-12 (GDL),glas,44.0,50.0,33.1,Geluidwering Gevels...,24.0,25.0,29.0,37.0,37.0,37.0,True,,,8 24 12,Lucht,Niet,8.0,24.0,12.0,,,,,,,,,catalogusGG.pdf
959,D00361,361,Glas,Glas 6-1-5 gelaminee...,glas,12.0,28.0,30.6,Geluidwering Gevels...,20.2,24.0,28.0,31.0,33.0,37.0,True,,,12 0 0,n.v.t,"pvb, 1 zijdig",12.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
960,D00362,362,Glas,Glas 7-1-6 gelaminee...,glas,14.0,33.0,31.6,Geluidwering Gevels...,21.2,25.0,29.0,32.0,34.0,39.0,True,,,14 0 0,n.v.t,"pvb, 1 zijdig",14.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
961,D00363,363,Glas,Glas 8-1-7 gelaminee...,glas,16.0,38.0,32.0,Geluidwering Gevels...,22.1,26.0,29.0,32.0,34.0,41.0,True,,,16 0 0,n.v.t,"pvb, 1 zijdig",16.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
962,D00364,364,Glas,Glas 10-1-9 gelamine...,glas,20.0,48.0,33.4,Geluidwering Gevels...,23.4,27.0,30.0,33.0,36.0,44.0,True,,,20 0 0,n.v.t,"pvb, 1 zijdig",20.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
963,D00471,471,Glas,Glas 4-12-5,glas,21.0,23.0,28.3,Berekendlawaai wo...,19.2,22.0,22.0,29.0,36.0,36.0,True,,,4 12 5,Lucht,Niet,4.0,12.0,5.0,,,,,,,,,catalogusGG.pdf
964,D00628,628,Glas,Meta-glas 5-47-5. 1ki...,glas,57.0,25.0,29.6,v.Dorsser '86 rap. 51...,15.7,21.8,26.2,34.1,40.4,37.2,True,,,5 47 5,Lucht,Niet,5.0,47.0,5.0,,,,,,,,,catalogusGG.pdf
965,D00629,629,Glas,Meta-glas 5-81-5. 2ki...,glas,91.0,0.0,26.8,v.Dorsser '86 rap. 51...,9.8,21.5,33.2,37.0,43.9,39.5,True,,,5 81 5,Lucht,Niet,5.0,81.0,5.0,,,,,,,,,catalogusGG.pdf
966,D00630,630,Glas,Meta-glas 5-125-5. 2...,glas,135.0,0.0,37.3,v.Dorsser '86 rap. 51...,23.8,30.2,36.6,40.3,44.8,39.4,True,,,5 125 5,Lucht,Niet,5.0,125.0,5.0,,,,,,,,,catalogusGG.pdf
967,D00631,631,Glas,Meta-glas 5-125-5.re...,glas,135.0,0.0,38.1,v.Dorsser '86 rap. 51...,25.7,31.1,35.9,41.9,44.4,39.6,True,,,5 125 5,Lucht,Niet,5.0,125.0,5.0,,,,,,,,,catalogusGG.pdf
968,D00632,632,Glas,Meta-glas 5-125-5.ab...,glas,135.0,0.0,36.4,v.Dorsser '86 rap. 51...,21.7,28.7,35.0,42.7,44.5,42.9,True,,,5 125 5,Lucht,Niet,5.0,125.0,5.0,,,,,,,,,catalogusGG.pdf
969,D00633,633,Glas,Meta-glas 5-188-5. 2...,glas,198.0,0.0,38.9,v.Dorsser '86 rap. 51...,25.9,31.9,36.5,44.0,45.4,41.0,True,,,5 188 5,Lucht,Niet,5.0,188.0,5.0,,,,,,,,,catalogusGG.pdf
970,D00634,634,Glas,Meta-glas 5-188-5.ab...,glas,198.0,0.0,40.8,v.Dorsser '86 rap. 51...,27.2,33.3,38.7,45.6,47.4,45.0,True,,,5 188 5,Lucht,Niet,5.0,188.0,5.0,,,,,,,,,catalogusGG.pdf
971,D00635,635,Glas,Meta-glas 5-81-5. 1ki...,glas,91.0,0.0,25.3,v.Dorsser dec'85 rap...,8.8,18.7,28.6,33.4,41.1,35.6,True,,,5 81 5,Lucht,Niet,5.0,81.0,5.0,,,,,,,,,catalogusGG.pdf
972,D00636,636,Glas,Meta-glas 6-160-4 (v...,glas,170.0,0.0,39.5,v.Dorsser apr'90 rap....,25.9,31.9,36.1,44.0,49.3,45.2,True,,,6 160 4,Lucht,Niet,6.0,160.0,4.0,,,,,,,,,catalogusGG.pdf
973,D00637,637,Glas,Meta-glas 8-160-4 (v...,glas,172.0,0.0,40.0,v.Dorsser apr'90 rap....,26.5,32.2,36.5,43.7,49.0,46.5,True,,,8 160 4,Lucht,Niet,8.0,160.0,4.0,,,,,,,,,catalogusGG.pdf
974,D00638,638,Glas,Meta-glas 5-160-4 (v...,glas,171.0,0.0,38.8,v.Dorsser apr'90 rap....,24.8,30.9,35.4,43.2,50.3,46.0,True,,,5 160 4,Lucht,Niet,5.0,160.0,4.0,,,,,,,,,catalogusGG.pdf
975,D00639,639,Glas,Meta-glas 5-80-4 (vo...,glas,89.0,0.0,31.8,v.Dorsser apr'90 rap....,15.8,24.2,32.6,40.9,47.4,43.4,True,,,5 80 4,Lucht,Niet,5.0,80.0,4.0,,,,,,,,,catalogusGG.pdf
976,D00640,640,Glas,Meta-glas 6-80-4 (vo...,glas,90.0,0.0,34.5,v.Dorsser apr'90 rap....,19.6,26.4,32.6,40.1,47.6,44.1,True,,,6 80 4,Lucht,Niet,6.0,80.0,4.0,,,,,,,,,catalogusGG.pdf
977,D00641,641,Glas,Meta-glas 8-80-4 (vo...,glas,92.0,0.0,36.2,v.Dorsser apr'90 rap....,21.6,28.1,34.0,41.2,46.9,45.6,True,,,8 80 4,Lucht,Niet,8.0,80.0,4.0,,,,,,,,,catalogusGG.pdf
978,D00642,642,Glas,Meta-glas 6-44-4 (vo...,glas,54.0,0.0,23.3,v.Dorsser apr'90 rap....,6.7,16.4,25.8,35.9,44.7,41.4,True,,,6 44 4,Lucht,Niet,6.0,44.0,4.0,,,,,,,,,catalogusGG.pdf
979,D00643,643,Glas,Meta-glas 8-44-4 (vo...,glas,56.0,0.0,24.5,v.Dorsser apr'90 rap....,7.7,18.0,28.3,37.4,44.3,43.1,True,,,8 44 4,Lucht,Niet,8.0,44.0,4.0,,,,,,,,,catalogusGG.pdf
980,D00644,644,Glas,Meta-glas 5-44-4 (vo...,glas,53.0,0.0,22.7,v.Dorsser apr'90 rap....,6.1,16.0,24.5,35.8,44.1,39.9,True,,,5 44 4,Lucht,Niet,5.0,44.0,4.0,,,,,,,,,catalogusGG.pdf
981,D00645,645,Glas,Meta-glas 6-160-4 (a...,glas,170.0,0.0,39.9,v.Dorsser apr'90 rap....,28.5,32.8,35.8,41.4,46.8,44.2,True,,,6 160 4,Lucht,Niet,6.0,160.0,4.0,,,,,,,,,catalogusGG.pdf
982,D00646,646,Glas,Meta-glas 6-80-4 (ac...,glas,90.0,0.0,35.8,v.Dorsser apr'90 rap....,21.7,27.6,33.3,39.5,46.3,44.0,True,,,6 80 4,Lucht,Niet,6.0,80.0,4.0,,,,,,,,,catalogusGG.pdf
983,D00647,647,Glas,Meta-glas 6-44-4 (ac...,glas,54.0,0.0,28.2,v.Dorsser apr'90 rap....,12.7,20.2,27.7,35.0,41.4,43.4,True,,,6 44 4,Lucht,Niet,6.0,44.0,4.0,,,,,,,,,catalogusGG.pdf
984,D00648,648,Glas,Meta-glas 6-160-4 (st...,glas,170.0,0.0,40.5,v.Dorsser apr'90 rap....,28.2,32.7,36.8,41.8,49.2,46.4,True,,,6 160 4,Lucht,Niet,6.0,160.0,4.0,,,,,,,,,catalogusGG.pdf
985,D00649,649,Glas,Meta-glas 6-200-4 (st...,glas,210.0,0.0,40.7,v.Dorsser apr'90 rap....,28.3,33.1,36.8,42.8,48.8,47.0,True,,,6 200 4,Lucht,Niet,6.0,200.0,4.0,,,,,,,,,catalogusGG.pdf
986,D00650,650,Glas,Meta-glas 6-80-4 (sto...,glas,90.0,0.0,33.3,v.Dorsser apr'90 rap....,18.4,25.1,31.6,38.5,44.5,45.3,True,,,6 80 4,Lucht,Niet,6.0,80.0,4.0,,,,,,,,,catalogusGG.pdf
987,D00651,651,Glas,Meta-glas 8-80-4 (sto...,glas,92.0,0.0,35.0,v.Dorsser apr'90 rap....,20.5,27.0,32.8,40.0,44.1,46.4,True,,,8 80 4,Lucht,Niet,8.0,80.0,4.0,,,,,,,,,catalogusGG.pdf
988,D00652,652,Glas,Meta-glas 8-160-4 (st...,glas,172.0,0.0,40.8,v.Dorsser apr'90 rap....,28.4,33.2,36.6,42.8,48.9,48.1,True,,,8 160 4,Lucht,Niet,8.0,160.0,4.0,,,,,,,,,catalogusGG.pdf
989,D00653,653,Glas,Meta-glas 5-12-5 (dra...,glas,22.0,0.0,28.2,v.Dorsser apr'90 rap....,21.1,23.7,21.6,28.9,36.2,31.5,True,,,5 12 5,Lucht,Niet,5.0,12.0,5.0,,,,,,,,,catalogusGG.pdf
990,D00654,654,Glas,Meta-glas 6-12-4. 1ki...,glas,22.0,0.0,31.6,v.Dorsser apr'90 rap....,20.4,24.6,28.6,33.0,37.2,34.0,True,,,6 12 4,Lucht,Niet,6.0,12.0,4.0,,,,,,,,,catalogusGG.pdf
991,D00655,655,Glas,Meta-glas 6-12-4. 2ki...,glas,22.0,0.0,32.2,v.Dorsser apr'90 rap....,20.4,24.8,28.7,33.6,39.9,35.7,True,,,6 12 4,Lucht,Niet,6.0,12.0,4.0,,,,,,,,,catalogusGG.pdf
992,D00801,801,Glas,Glazen b.steen 19x1...,glas,80.0,0.0,35.7,Institut fur Technisch...,26.2,29.0,30.9,37.4,42.4,37.9,True,,,0 0 0,n.v.t,Niet,0.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
993,D00802,802,Glas,Glazen b.steen 24x2...,glas,80.0,0.0,35.8,Institut fur Technisch...,26.2,29.0,33.0,39.3,42.4,35.1,True,,,0 0 0,n.v.t,Niet,0.0,0.0,0.0,,,,,,,,,catalogusGG.pdf
